Period,Science,Sequence,Dup_tar,Primary,H mag,
104,TRUE,Both,FALSE,iot Psc,2.988,
104,FALSE,Both,FALSE,HR 67,4.326,
104,FALSE,Bright,FALSE,HD 222919,4.388,Bad calibrator
104,FALSE,Bright,FALSE,HD 223292,4.497,
104,FALSE,Faint,FALSE,HD 218330,4.536,
104,FALSE,Faint,FALSE,HD 43,4.642,
104,TRUE,Both,FALSE,zet Tuc,2.88,
104,FALSE,Both,FALSE,HD 68,4.189,
104,FALSE,Faint,FALSE,HD8809,6.768,
104,FALSE,Faint,FALSE,HD323,4.442,
104,FALSE,Bright,FALSE,HD220757,4.593,
104,FALSE,Bright,FALSE,HD8025,4.747,
104,TRUE,Both,FALSE,pi3 Ori,1.757,
104,FALSE,Both,FALSE,HR_1618 ,3.363,Variable Star
104,FALSE,Faint,FALSE,HD_30519,4.001,
104,FALSE,Faint,FALSE,HD_30507,3.828,
104,FALSE,Bright,FALSE,HR_1534,3.272,
104,FALSE,Bright,FALSE,HR_1681,3.73,
104,TRUE,Both,FALSE,gam Lep,2.606,
104,FALSE,Faint,FALSE,HD_38579,4.482,
104,FALSE,Faint,FALSE,HD_39913,4.404,
104,FALSE,Faint,FALSE,HR_2090,4.130†,
104,TRUE,Both,FALSE,HR 2998,3.159,
104,FALSE,Both,FALSE,HR_3069,4.312,
104,FALSE,Faint,FALSE,HD_61574,4.992,Bad calibrator: Spectroscopic Binary
104,FALSE,Faint,FALSE,HD_65187,4.922,
104,FALSE,Bright,FALSE,HD_65491,4.834,
104,FALSE,Bright,FALSE,HD_66162,4.765,
104,TRUE,Both,FALSE,rho Pup,2.084,
104,FALSE,Faint,FALSE,HD_59936,3.955,Bad calibrator: Spectroscopic Binary
104,FALSE,Faint,FALSE, HD_63734,4.094,
104,FALSE,Faint,FALSE, HR_3317,3.873,
105,TRUE,Both,FALSE,HD121370,1.534,
105,FALSE,Faint,FALSE,HD118839,4.089,
105,FALSE,Faint,FALSE,HD120540,4.913,
105,TRUE,Both,FALSE,hd124850,2.909,
105,FALSE,Both,FALSE,HD125490,4.502,
105,FALSE,Faint,FALSE,HD121981,4.864,
105,FALSE,Faint,FALSE,_HD123255,4.792,
105,FALSE,Bright,FALSE,HD122135,4.255,
105,FALSE,Bright,FALSE,HD125183,4.694,
105,TRUE,Both,FALSE,hd141004,3.07,
105,FALSE,Both,FALSE,HD142443,4.595,
105,FALSE,Bright,FALSE,HD142639,4.663,
105,FALSE,Bright,FALSE,HD139610,4.883,
105,FALSE,Faint,FALSE,HD142862,4.998,
105,FALSE,Faint,FALSE,HD143129,4.904,
105,TRUE,Both,FALSE,hd142860,2.64,
105,FALSE,Both,FALSE,HD141589,4.477,
105,FALSE,Faint,FALSE,HD141827,4.543,Bad calibrator: Spectroscopic Binary
105,FALSE,Faint,FALSE,HD143896,4.589,
105,FALSE,Bright,FALSE,HD143257,4.485,
105,FALSE,Bright,FALSE,HD140346,4.539,
105,TRUE,Both,FALSE,hd182572,3.327,
105,FALSE,Faint,FALSE,HD178665,4.582,
105,FALSE,Faint,FALSE,HD178596,4.357,Bad Calibrator: Double or Multiple Star
105,FALSE,Faint,FALSE,HD186202,4.517,
106,TRUE,Both,FALSE,bet Hyi,1.434,
106,FALSE,Both,FALSE,lam_Tuc,3.06,
106,FALSE,Bright,FALSE,sig_Pav,2.95,
106,FALSE,Bright,FALSE,HD_4332,3.329,
106,FALSE,Faint,FALSE,kap_Hyi,3.669,
106,FALSE,Faint,FALSE,HR_8432,3.911,
106,TRUE,Both,FALSE,gam Lep,2.606,
106,FALSE,Both,FALSE,HD_38295,4.655,
106,FALSE,Bright,TRUE,HR_2090,4.13,
106,FALSE,Faint,TRUE,HD_42747,4.531,
106,TRUE,Both,FALSE,ksi Gem,1.811,
106,FALSE,Both,FALSE,HR_2426,3.377,
106,FALSE,Bright,FALSE,12_Mon,3.709,Variable Star
106,FALSE,Bright,FALSE,HR_2610,3.771,
106,FALSE,Faint,FALSE,HR_2342,3.689,
106,FALSE,Faint,FALSE,_HR_239,5.896,delta Sct Variable
106,TRUE,Both,FALSE,rho Pup,2.084,
106,FALSE,Both,FALSE,HR_3317,3.873,
106,FALSE,Faint,FALSE,HD_65181,4.406,
106,FALSE,Faint,FALSE,HD_70942,4.137,
106,FALSE,Bright,FALSE,HD_59936,3.955†,Bad calibrator: Spectroscopic Binary
106,FALSE,Bright,FALSE,HD_63734,4.094,
106,TRUE,Both,FALSE,psi Vel,2.7,
106,TRUE,Both,FALSE,psiVela,2.7,
106,FALSE,Both,FALSE,HR_3729,4.368,Bad Calibrator ??
106,FALSE,Faint,FALSE,HD_76437,4.748,
106,FALSE,Faint,FALSE,HD_84369,4.71,
106,FALSE,Bright,FALSE,HD_79810,4.417,Bad Calibrator ??
106,FALSE,Bright,FALSE, HD_84900,4.544,
106,TRUE,Both,FALSE,alf Cmi,-0.666,
106,FALSE,Bright,FALSE,HR_2729,2.927,
106,FALSE,Bright,FALSE,HD_63241,3.056,
106,FALSE,Bright,FALSE,27_Mon,2.336,